ms,mV,uA,p_mW
# meta, firmware=TXSD_UCCS_D2_SCAN90, cond_id=4, tag=s4_fixed100, subject=uccs_d2_scan90
12,3224,54800,176.7
21,3228,56300,181.7
31,3228,54700,176.6
41,3228,56300,181.7
51,3224,54700,176.4
61,3228,56300,181.7
71,3224,54700,176.4
81,3228,55900,180.4
91,3228,55200,178.2
101,3228,55700,179.8
111,3032,152500,462.4
121,3228,55500,179.2
131,3228,56000,180.8
141,3228,54800,176.9
151,3228,56300,181.7
161,3224,54700,176.4
171,3228,56300,181.7
181,3228,54800,176.9
191,3228,56300,181.7
201,3224,54800,176.7
211,3228,56300,181.7
221,3228,55400,178.8
231,3228,56300,181.7
241,3224,55000,177.3
251,3228,55700,179.8
261,3228,55400,178.8
271,3228,55700,179.8
281,3228,55400,178.8
291,3228,54900,177.2
301,3228,56200,181.4
311,3224,54700,176.4
321,3004,136000,408.5
331,3224,54800,176.7
341,3228,56300,181.7
351,3224,54800,176.7
361,3228,56300,181.7
371,3224,54700,176.4
381,3228,56300,181.7
391,3228,54700,176.6
401,3228,55800,180.1
411,3224,55400,178.6
421,3096,145500,450.5
431,3228,55400,178.8
441,3228,55200,178.2
451,3228,56100,181.1
461,3224,54800,176.7
471,3228,56300,181.7
481,3224,54700,176.4
491,3228,56200,181.4
501,3228,54800,176.9
511,3228,56300,181.7
521,3228,54800,176.9
531,3108,135800,422.1
541,3224,54800,176.7
551,3228,56100,181.1
561,3228,55100,177.9
571,3228,55700,179.8
581,3228,55400,178.8
591,3228,55600,179.5
601,3228,55600,179.5
611,3224,54900,177.0
621,3228,56200,181.4
631,3224,102400,330.1
641,3228,56300,181.7
651,3228,54800,176.9
661,3228,56300,181.7
671,3228,54700,176.6
681,3216,56500,181.7
691,3224,54700,176.4
701,3228,56300,181.7
711,3224,54800,176.7
721,3228,55800,180.1
731,3228,55300,178.5
741,3068,135800,416.6
751,3228,55400,178.8
761,3228,55100,177.9
771,3228,56100,181.1
781,3128,118100,369.4
791,3228,56300,181.7
801,3228,54800,176.9
811,3232,56300,182.0
821,3224,54800,176.7
831,3228,56300,181.7
841,3108,209100,649.9
851,3228,56300,181.7
861,3228,54700,176.6
