ms,mV,uA,p_mW
# meta, firmware=TXSD_UCCS_D2_SCAN90, cond_id=0, tag=unk, subject=uccs_d2_scan90
12,3228,90400,291.8
21,3236,56000,181.2
31,3232,54500,176.1
41,3236,56000,181.2
51,3232,54500,176.1
61,3236,56000,181.2
71,3232,54400,175.8
81,3232,56000,181.0
91,3124,61500,192.1
101,3236,55700,180.2
111,3232,54900,177.4
121,3016,142900,431.0
131,3232,55100,178.1
141,3232,55400,179.1
151,3232,55300,178.7
161,3232,54500,176.1
171,3232,55900,180.7
181,3232,54500,176.1
191,3232,123000,397.5
201,3232,54500,176.1
211,3236,56000,181.2
221,3120,168400,525.4
231,3232,56000,181.0
241,3232,54500,176.1
251,3236,56000,181.2
261,3232,54500,176.1
271,3232,55600,179.7
281,3232,55000,177.8
291,3228,66300,214.0
301,3232,55100,178.1
311,3232,55200,178.4
321,3232,55500,179.4
331,3008,183800,552.9
341,3236,56000,181.2
351,3232,54500,176.1
361,3232,56000,181.0
371,3232,54400,175.8
381,3236,56000,181.2
391,3212,54500,175.1
401,3232,56000,181.0
411,3232,54500,176.1
421,3232,56000,181.0
431,3112,140600,437.5
441,3232,55500,179.4
451,3232,55000,177.8
461,3232,55400,179.1
471,3232,55100,178.1
481,3232,55100,178.1
491,3232,55500,179.4
501,3232,54500,176.1
511,3236,56000,181.2
521,3232,54500,176.1
531,3236,56000,181.2
541,3232,57100,184.5
551,3232,56000,181.0
561,3232,54500,176.1
571,3236,56000,181.2
581,3232,54400,175.8
591,3232,56000,181.0
601,3232,54400,175.8
611,3232,55400,179.1
621,3232,55100,178.1
631,3232,55400,179.1
641,3164,155000,490.4
651,3232,54900,177.4
661,3232,55800,180.3
671,3232,54500,176.1
681,3236,56000,181.2
691,3232,54500,176.1
701,3236,56000,181.2
711,3232,54400,175.8
721,3236,56000,181.2
731,3232,54400,175.8
741,3232,56000,181.0
751,3048,149000,454.2
761,3232,56100,181.3
771,3232,54500,176.1
781,3232,55400,179.1
791,3236,55000,178.0
801,3236,55300,179.0
811,3232,55000,177.8
821,3232,54800,177.1
831,3232,55700,180.0
841,3232,54500,176.1
851,3236,56000,181.2
861,3232,54500,176.1
871,3232,56000,181.0
881,3232,54400,175.8
891,3236,56000,181.2
901,3232,54400,175.8
911,3236,56000,181.2
921,3232,54400,175.8
931,3236,56000,181.2
941,3232,54500,176.1
951,3236,55400,179.3
961,3116,139400,434.4
971,3232,55400,179.1
981,3232,55100,178.1
991,3232,54600,176.5
1001,3232,55900,180.7
1011,3232,54500,176.1
1021,3236,56000,181.2
1031,3232,54400,175.8
1041,3236,55900,180.9
1051,3232,54400,175.8
1061,3236,55900,180.9
1071,3072,179900,552.7
1081,3236,56000,181.2
1091,3232,54500,176.1
1101,3224,56000,180.5
1111,3232,54800,177.1
1121,3232,55300,178.7
1131,3232,55000,177.8
