ms,mV,uA,p_mW
# meta, firmware=TXSD_UCCS_D2_SCAN90, cond_id=3, tag=s1_policy, subject=uccs_d2_scan90
# meta, policy=actions{100,500} u_mid=0.20 u_high=0.35 c_mid=0.20 c_high=0.35 hyst=0.02 ema_alpha=0.20
12,3232,56000,181.0
21,3228,54500,175.9
31,3232,56100,181.3
41,3232,54500,176.1
51,3232,56000,181.0
61,3232,55100,178.1
71,3232,55400,179.1
81,3232,55100,178.1
91,3232,55400,179.1
101,3232,55800,180.3
111,3232,54700,176.8
121,3232,56100,181.3
131,3232,54500,176.1
141,3232,56100,181.3
151,3232,54500,176.1
161,3232,56000,181.0
171,3232,54400,175.8
181,3232,56100,181.3
191,3120,206400,644.0
201,3232,55900,180.7
211,3232,54800,177.1
221,3232,55800,180.3
231,3232,55100,178.1
241,3232,55500,179.4
251,3232,55100,178.1
261,3232,55500,179.4
271,3232,56000,181.0
281,3232,54600,176.5
291,3232,56000,181.0
301,3232,54500,176.1
311,3232,56100,181.3
321,3232,54500,176.1
331,3232,56100,181.3
341,3228,54500,175.9
351,3232,56000,181.0
361,3232,54500,176.1
371,3232,56100,181.3
381,3232,55000,177.8
391,3232,55600,179.7
401,3232,55100,178.1
411,3232,55400,179.1
421,3232,55400,179.1
431,3232,55200,178.4
441,3232,56000,181.0
451,3228,54600,176.2
461,3236,56000,181.2
471,3232,54500,176.1
481,3232,56000,181.0
491,3232,54500,176.1
501,3236,56000,181.2
511,3232,54500,176.1
521,3232,56000,181.0
531,3232,54500,176.1
541,3232,56000,181.0
551,3228,55000,177.5
561,3232,55500,179.4
571,3232,55100,178.1
581,3232,55400,179.1
591,3232,55700,180.0
601,3232,54900,177.4
611,3232,56000,181.0
621,3228,54500,175.9
631,3232,56100,181.3
641,3228,54500,175.9
651,3232,56000,181.0
661,3228,54400,175.6
671,3232,56100,181.3
681,3232,54500,176.1
691,3112,143600,446.9
701,3232,54600,176.5
711,3232,56100,181.3
721,3232,55100,178.1
731,3232,55500,179.4
741,3232,55100,178.1
751,3232,55400,179.1
761,3232,55900,180.7
771,3232,54700,176.8
781,3232,56000,181.0
791,3232,54500,176.1
801,3232,56000,181.0
811,3232,54400,175.8
821,3232,56000,181.0
831,3232,54500,176.1
841,3232,56000,181.0
851,3232,54500,176.1
861,3232,56100,181.3
871,3232,54800,177.1
881,3232,55800,180.3
891,3228,55100,177.9
901,3232,55400,179.1
911,3232,55200,178.4
921,3232,55400,179.1
931,3232,56000,181.0
941,3232,54600,176.5
951,3232,56100,181.3
961,3232,54500,176.1
971,3232,56100,181.3
981,3232,54500,176.1
991,3232,56000,181.0
1001,3232,54500,176.1
1011,3232,56000,181.0
1021,3232,54500,176.1
1031,3232,56100,181.3
1041,3232,54900,177.4
1051,3232,55600,179.7
1061,3232,55100,178.1
1071,3232,55400,179.1
1081,3232,55500,179.4
1091,3232,55100,178.1
1101,3232,56000,181.0
1111,3232,54600,176.5
1121,3232,56100,181.3
1131,3232,54500,176.1
1141,3232,56000,181.0
1151,3228,54500,175.9
1161,3232,56100,181.3
1171,3228,54400,175.6
1181,3100,76500,237.1
1191,3008,144800,435.6
1201,3232,56000,181.0
1211,3232,55100,178.1
1221,3232,55500,179.4
1231,3232,55100,178.1
1241,3232,55400,179.1
1251,3232,55700,180.0
1261,3232,54800,177.1
1271,3232,56000,181.0
1281,3232,54600,176.5
1291,3120,204200,637.1
1301,3232,54500,176.1
1311,3232,56000,181.0
1321,3232,54500,176.1
1331,3232,56000,181.0
1341,3232,54500,176.1
1351,3232,56100,181.3
1361,3232,54600,176.5
1371,3232,56000,181.0
1381,3232,55100,178.1
1391,3024,140700,425.5
1401,3232,55100,178.1
1411,3232,55500,179.4
1421,3232,56000,181.0
1431,3232,54700,176.8
1441,3232,56100,181.3
1451,3232,54500,176.1
1461,3232,56100,181.3
1471,3232,54500,176.1
1481,3212,56300,180.8
1491,3232,54600,176.5
1501,3120,154900,483.3
1511,3232,54600,176.5
1521,3232,56100,181.3
1531,3232,54900,177.4
1541,3232,55800,180.3
1551,3232,55100,178.1
1561,3232,55400,179.1
1571,3232,55200,178.4
1581,3224,55600,179.3
1591,3232,56000,181.0
1601,3232,54600,176.5
1611,3212,56400,181.2
1621,3232,54600,176.5
1631,3232,56100,181.3
1641,3232,54500,176.1
1651,3232,56100,181.3
1661,3232,54600,176.5
1671,3232,56100,181.3
1681,3208,68600,220.1
1691,3232,56100,181.3
1701,3228,55000,177.5
1711,3108,142200,442.0
1721,3232,55100,178.1
1731,3232,55500,179.4
1741,3232,55500,179.4
1751,3232,55100,178.1
1761,3232,56000,181.0
1771,3232,54500,176.1
1781,3232,61500,198.8
1791,3232,54500,176.1
1801,3232,56100,181.3
1811,3232,54500,176.1
1821,3232,56100,181.3
1831,3228,54500,175.9
1842,3232,56100,181.3
1851,3232,54600,176.5
1861,3232,56100,181.3
1871,3232,55100,178.1
1881,3232,55500,179.4
1891,3232,55100,178.1
1901,3232,55500,179.4
1911,3232,55900,180.7
1921,3028,134100,406.1
1931,3232,56100,181.3
